Index,Posting,PosterName,PostingDate,NumberofLikes,NumberofComments,NumberofReposts,NumberofOrganicImpressions,Comments,Commenters
63," ðŸ” Unlock the Secrets of Customer Needs with Jobs to Be Done (JTBD) ðŸ”Elevate your understanding of customers with our exclusive Innovation Series workshop featuring Tony Ulwick, Author of Jobs to Be Done and Founder/CEO of Strategyn. ðŸš€ Theory to Practice: Discover how to turn Jobs Theory into practice, avoid critical innovation mistakes, and employ the Jobs-to-be-Done Theory Needs Framework to categorize, define, and prioritize customer needs.ðŸŒŸ Growth Strategy Matrix: Explore the Jobs-to-be-Done Growth Strategy Matrix, a tool that defines which growth strategies to pursue in various situations, filling gaps in traditional innovation theories.ðŸ”‘ Outcome-Driven Innovation: Learn about the Outcome-Driven Innovation process, linking customer-defined metrics to the customer's Job-to-be-Done, revolutionizing opportunity discovery, marketing, and innovation.ðŸ“Š Outcome-Based Segmentation: Uncover the power of Outcome-Based Segmentation in identifying hidden growth opportunities.This workshop is a game-changer for businesses looking to make innovation more predictable and profitable. Don't miss out on this transformative event!Event Details:ðŸ“… Date: Wednesday, Sept. 20thðŸ•’ Time: 11 am PSTðŸ“ Location: Virtual on Zoom (Register to receive the link)Secure your spot now: https://lnkd.in/gx59bh5B#CustomerInsights #JobsToBeDone #Innovation #BusinessWorkshop #CustomerNeedsStrategy & Innovation Institute Growth Factory StartupSac Startup Folsom Sacramento MetroBusiness Center Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy SBA Sacramento District Office 1 Million Cups Sacramento UC Davis Student Startup Center UC Davis Venture Catalyst UC Davis Institute for Innovation and EntrepreneurshipFranklin Burris, MPA Monique Brown Donna â€œBasicTaqâ€ Walters, MBA May Chinavanichkit Laura Good Rich Foreman Kyla Bryant Madeline Barbour ðŸ·Christy Serrato WP Anthony Garcia Michael Freedman Oksana Zubrytska Aaron Mondell Anderson Dawn McGee Niki Peterson Joe DiNunzio Janine Elliott Dick Gourley",CameronR.Law,9/14/2023,8,1,7,165,"This series has been so valuable, there have been international participants joining the webinars! Very worth your time, and each has been a great tool for any small business!",Franklin Burris
64," ðŸš€ Join the Startup Challenge 2023 and turn your startup dream into reality!ðŸš€Get ready for an action-packed weekend of creativity and competition. Pitch your idea, form a team, and transform it into a real startup with the guidance of mentors. It's all about doing, not just talking.Key Highlights:- Friday, October 13th, 5 PM: Kick-off with networking and dinner.- Friday Pitch Session: Pitch your brand-new idea in 60 seconds.- Idea Voting: Teams form around the most popular ideas.- Get to Work: Less than 48 hours to create a real business.- Pitch to Win Prizes: Present your startup to judges for a chance to win amazing prizes, including cash!Ready to launch your startup journey? Join us for an unforgettable weekend of innovation and entrepreneurship.Learn more and register here: https://lnkd.in/eYWeG9qg#StartupChallenge #Entrepreneurship #Innovation #SacramentoStartupsSBA Sacramento District Office National Black Entrepreneurs Project UC Davis Student Startup Center UC Davis Venture Catalyst UC Davis Institute for Innovation and Entrepreneurship AgStart CleanStart The Hive CSUS InnoGrove BLOOM COWORKING Granite City Coworking Choose Folsom SMUD Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce",CameronR.Law,9/14/2023,6,0,0,68,,
65," ðŸŒŸ Global Entrepreneurship Week Sacramento 2023 is right around the corner, and we would love YOUR input to make it a phenomenal success! ðŸš€ðŸŽ¤ Call for Speakers and Event Ideas: Are you a seasoned entrepreneur, a visionary leader, or a subject matter expert? We want to hear from you! We're looking for dynamic speakers and innovative event ideas to inspire and empower our entrepreneurial community. Share your expertise and be a part of #GEW2023. Click here to submit your proposals and ideas: https://lnkd.in/gsw49cXpðŸ† Spark Venture Competition: Get ready for the Spark Venture Competition, where innovative startups will compete for $20,000 in cash awards to take your startup to the next level. Do you have a game-changing startup or know someone who does? Apply here today: https://lnkd.in/g9nZcwmQSave the date, spread the word, and let's make Global Entrepreneurship Week 2023 the most impactful yet! ðŸ’¡âœ¨ðŸ”— https://lnkd.in/gtFj5_4XGlobal Entrepreneurship Week is powered by Western Health Advantage and proudly supported by SMUD! #GEW #Entrepreneurship #Innovation #GEW2023 #GEWSacramentoSacramento Entrepreneurial Growth Alliance Greater Sacramento Economic Council StartupSac Growth Factory 1 Million Cups Sacramento Sacramento MetroBusiness Center FourthWave.io Sacramento Business Journal Comstock's Magazine Valley Vision California State University-Sacramento Sacramento State College of Business Administration Associated Students, Inc. | Sacramento State NorCal Entrepreneur Hub Global Entrepreneurship Week California Global Entrepreneurship Network",CameronR.Law,9/13/2023,14,1,8,436,Looking forward to another full week of events! We would love to hear from you in what you would like to see from this week of events!,Cameron Law
66, Helping set up the Stinger Expo with the Carlsen Center for Innovation & Entrepreneurship and Hive Entrepreneurship club crew was great! Chatting with all the student business owners was awesome and we had such a diverse turnout of vendors and guests. I'm excited to get to know more of our student business owners as VP of the Hive ðŸ!Big shoutout to Madi Lane and Hannah Chavez for setting the whole thing up and managing all the vendors and logistics! And thanks to Zaid Darwish for leaving such a great legacy for the Hive to inherit by starting the expo ðŸ’ª ,CameronR.Law,9/13/2023,22,5,1,0,"Way to go! You all rock!, Not as much as you Cam!, Well-stated Ethan Bradley! So proud of all the planning, coordination, execution and engagement of #StingerExpo by all under the leaership of Hannah Chavex and Madi Lane! And so happy to see Zaid Darwish attend and celebreate you all! #celebratethewins #awesometeam #stingersup,  Having Zaid visit us was awesome!, Keep up the amazing work","Ethan Bradley, Cameron Law, Arlene Miranda, Carsen Center of Innovation & Entrepreneurship"
67," ðŸ“£ Ready to navigate the changing economic landscape? Join us for Business Focus 2023: Transitioning Your Business in a Volatile Economy.In today's dynamic business environment, every decision counts. Whether you're a small, medium, or family-owned business, you can benefit from the wisdom of experienced professionals. BFBA, LLP, Umpqua Bank, CVF Capital Partners, and Weintraub Tobin have come together with a panel of accomplished entrepreneurs and CEOs to share invaluable insights and best practices for thriving in a high-interest rate and inflationary economy.ðŸ—“ï¸ Date: Tuesday, September 26, 2023ðŸ•— Time: 8:00 A.M.ðŸ“ Location: Harper Alumni Center at Sacramento State, 6000 J Street, Sacramento, CA 95819ðŸ‘‰ What to Expect:- Discussions led by legal and financial experts.- Real-world experiences from entrepreneurs/CEOs who have navigated recent transactions.- Insights into challenges and solutions for businesses in today's volatile economy.- Complimentary continental breakfast.Professional Advisor Panelists: (moderated by Brian Hoblit from CVF Capital Partners):- JosÃ© Blanco from CVF Capital Partners- Ben Brown from BFBA- Jim Clarke from Weintraub Tobin- Dennis Raymond from Umpqua BankEntrepreneur/CEO Panelists (moderated by Christopher Chediak from Weintraub Tobin):- Eric Johnson, Director of Corporate Development at Meriplex- Julie Pulos, Co-Founder and President of Retech- Kelly Solomon, Co-Founder and CEO of Signature Coast LandscapeDon't miss this opportunity to gain valuable insights and network with industry experts.ðŸ‘ Special thanks to our sponsors: BFBA, CVF Capital Partners, Umpqua Bank, and Weintraub Tobin.Register now: https://lnkd.in/dRNvDcep#BusinessFocus #EconomicTransition #BusinessInsights #ProfessionalAdvice #Entrepreneurship #NetworkingSacramento State College of Business Administration Sacramento State Alumni Association Growth Factory Sacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub",CameronR.Law,9/12/2023,5,0,0,76,,
68," The Carlsen Center for Innovation and Entrepreneurship and the City of Sacramento are partnering with Forward Cities to bring you an interactive Town Hall-style event designed to empower and amplify the voices of local entrepreneurs. Join us on September 27th for the E3 Sacramento 2023 Ecosystem Town Hall to have the conversations that matter! Register for the event at https://lnkd.in/evN63rZWThank you to our sponsors City of Sacramento and SMUD for making this happen!#e3sacramento #ecosystembuilding #entrepreneurship #townhall Sacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub StartupSac National Black Entrepreneurs Project Valley Vision Growth Factory Sacramento Entrepreneurship Academy Ewing Marion Kauffman Foundation Greater Sacramento Economic Council Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce FourthWave.io DiverseCity Ventures Tech Funding Equity Cameron R. Law Arlene J. Miranda Aubree Smith Denise Malvetti Michael Jasso Franklin Burris, MPA Jose Bodipo Memba Fay Horwitt Magalie Yacinthe Nutishia Lee Kasem Rodriguez Mohsen ðŸ·Christy Serrato Evan Schmidt Chris Horton Pat Fong Kushida Azizza Davis Goines Cathy Rodriguez Aguirre Juan P. Novello Mariah ""Roman"" Lichtenstern",CameronR.Law,9/12/2023,20,7,7,383,"Such a great opportunitiy to have Sacramento chosen for the E3 Tour, looking forward to the engagement and planning for us all to get to the next level in supporting and scaling ourr Startups and entrepreneurs!, we can't wait!, Such a great idea to motivate all parties to collaborate!!, Thank you Framklin we value your support! Thank you SMUD for your parthnership ",
69," ðŸ» Calling all startup enthusiasts! Join us for a Startup Happy Hour Mash Up with Beer & Geeks!We're excited to partner with Startup Folsom and StartupSac for a fantastic evening of networking, learning, and enjoying some great brews. It's the perfect opportunity to connect with fellow entrepreneurs, tech enthusiasts, and industry professionals in a relaxed and friendly atmosphere.Date: Thursday, September 14 Time: 6 â€“ 8 PMLocation: The Fat Rabbit Public House, 825 Sutter St, Folsom 95630What to Expect:- ðŸ¤ Network with a diverse community of startup enthusiasts.- ðŸ» Enjoy a variety of craft beers and beverages.- ðŸ—£ Engage in exciting conversations about the latest in tech and startups.- ðŸŽ™ï¸ Hear from industry experts and thought leaders.- ðŸŽ‰ Have a fantastic time connecting and learning!Don't miss out on this unique mash-up event that brings together the best of the startup and tech scenes. Mark your calendars and bring your enthusiasm!Learn more and RSVP here: https://lnkd.in/ggDAv2fK#StartupHappyHour #BeerAndGeeks #Networking #TechCommunity #StartupEnthusiasts",CameronR.Law,9/12/2023,0,0,0,67,,
70," ðŸŒŸ Dive into the world of web development with us! Join our upcoming meetup today to hear from Corbin Crutchley as they discuss: Tanstack & You, a Love Story.ðŸ“… Date: Tuesday, September 12thðŸ•’ Time: 6 pm PSTðŸ“ Location: Carlsen Center at Sacramento State (Library 1520)Meet Corbin Crutchley, a full-stack developer and the mastermind behind some exciting projects. In this captivating talk, Corbin will unravel the magic of Tanstack, sharing insights and experiences that promise to ignite your passion for web development.Corbin is not just a developer; they are an author, founder, and a coding enthusiast. With a knack for debugging and a passion for creating helpful content, Corbin is a true gem in the tech world.ðŸ‘‰ Secure your spot: https://lnkd.in/dSPbqcbuDon't miss out on this opportunity to learn, connect, and be inspired. Whether you're a seasoned developer or just starting your journey, this meetup is for you!#WebDevelopment #Meetup #TechCommunity #Tanstack #JavaScript #FullStack #ProgrammingMark Takata Obi Baratt Tim Schafer Oleh Pylyp Alyne Padilla Srinjay Verma Abubeker Hussen HASHEM JABER",CameronR.Law,9/12/2023,11,1,2,180,"This will be a great event, Corbin never disappoints ",Obi Baratt
71," ðŸš€ Ready to take your business ideas to the next level? Join us for a transformative workshop: Testing Business Ideas with David Bland. ðŸ“… Date: September 12thðŸ•’ Time: 12 pm PSTðŸ“ Location: Virtual on Zoom (Register to receive link)Discover the principles behind testing business ideas and learn how to sequence experiments for success. Whether you're a budding entrepreneur or an experienced innovator, this workshop will empower you to make informed decisions and drive your business forward.ðŸ‘‰ Secure your spot today: https://lnkd.in/g6W_j6sJDon't miss this opportunity to gain valuable insights from David Bland, a leading expert in business experimentation. Let's turn your ideas into actionable strategies for success!#BusinessIdeas #Innovation #Entrepreneurship #BusinessStrategy #WorkshopPrecoil Strategyzer Growth Factory The Right Box LLC Moneta Ventures Sacramento Angels AgStart CleanStart Sacramento Entrepreneurial Growth Alliance UC Davis Student Startup Center UC Davis Institute for Innovation and Entrepreneurship UC Davis Venture Catalyst Sacramento State College of Business Administration Sacramento State EMBAMonique Brown Donna â€œBasicTaqâ€ Walters, MBA Josh David Miller Brooke VanSant John Selep Thomas Hall Gary Simon Aaron Mondell Anderson Dawn McGee Niki Peterson Janine Elliott Jean-Francois Coget Nathan (Nam Kyoon) Kim Cheng Wang ",CameronR.Law,9/11/2023,7,0,0,104,,
72,Get ready for a week filled with innovation and opportunities! Check out our latest weekly e-newsletter,CameronR.Law,9/11/2023,7,1,2,369,Some fantastic resources and educational webinars - for free!,Franklin Burris
73," Over the past few months I‚Äôve been diving into Innovation, primarily linked to Strategyzer‚Äôs toolkit on developing resilient companies using Business Model Innovation.One of the many brilliant tutor‚Äôs on our course was Tendayi Viki, author of ‚ÄòPirates in the Navy‚Äô. His book explores how companies can develop innovative strategies and mindsets to drive and foster creativity and disruption within organisations.The Carlsen Center for Innovation & Entrepreneurship* is running a free workshop tomorrow, via Eventbrite, where Tendayi will be providing valuable insights on his research and work. In particular he will focus on the following topics: üè¥‚Äç‚ò†Ô∏è Embracing Adventure: Learn how calculated risks can lead to breakthrough innovations.üöß Challenging the Status Quo: Overcome barriers to change and create an innovative culture.üå± Nurturing Innovators: Foster collaboration and creativity within diverse teams.üìö Learning from Setbacks: Understand how failures can drive innovation.üåä Harnessing Disruption: Identify and leverage disruptive trends and technologiesDefinitely not one to miss! ‚úã Tickets for the event can be accessed via:¬† https://lnkd.in/eAYn6nVq* For those interested - The Carlson Centre are running a fabulous series of presentations around a variety of topics linked to Business Strategy and innovation for successInterested in reading more? Click here (https://lnkd.in/eMFgM4BE) to access my blog which overviews Tendayi‚Äôs book",CameronR.Law,9/5/2023,14,9,1,54," to the bravest 'pirate' I know! 😀 Your Innovation Hub is definitely one of the success stories - a great achievement, perfectly positioned, as ever. I totally understand. You have many roles to play in such a position, but the learnings you gain are invaluable. Onwards ….. 👍, this is the book I mentioned. A great read!,  great stuff! Catch-up soon to review your thoughts? Best, M, let’s do so!, Thank you, Maria Butler, for sharing,  absolute pleasure! Your open knowledge sharing is fantastic! Huge thanks 🙏","Maria Butler,Maria Butler,Maria Butler,Maria Butler, José Matthijsse"
74," REMINDER!!! Please join us this Wednesday, September 6th, at 9 AM for 1 Million Cups Sacramento! Our guest speaker will be¬†Joshua Maddox, of whereEV. This is a great story and we hope you can join us to learn about their innovation journey!Website at:¬†https://www.whereev.app/This will be a virtual meeting and we hope you can join us on Zoom! Please find the Zoom link on our website at:¬†https://lnkd.in/gRZbN6yi1 Million Cups is all about founders helping founders! Join our community and help advance startups and small businesses in our region!StartupSac¬†Carlsen Center for Innovation & Entrepreneurship¬†Growth Factory¬†Sacramento Hispanic Chamber of Commerce¬†Sacramento Black Chamber of Commerce¬†Sacramento Entrepreneurship Academy¬†Sacramento Angels¬†Sacramento MetroBusiness Center¬†Ewing Marion Kauffman Foundation¬†1 Million Cups OrganizerJosh David Miller¬†Laura Good¬†Cameron R. Law¬†Arlene J. Miranda¬†Rich Foreman¬†John Nogrady¬†Telly Tasakos¬†Natasha M Palumbo, MBA¬†John Rainbolt¬†Mariah ""Roman"" Lichtenstern¬†Juan Juan¬†Emma Akua Mantey¬†John Goldberg, MBA,¬†Franklin Burris, MPA¬†May Chinavanichkit¬†June Swatzell¬†Zachary Draper¬†Mike Anderson¬†Minna Hu Vicki J. O'Grady-Longo Dick Gourley#startups¬†#entreprenership¬†#innnovation¬†#founders¬†#community¬†#entrepreneurs¬†#growth¬†#1mcnation¬†#1millioncups¬†#servantleadership¬†#leadership¬†#diversityequityinclusion¬†#1mc¬†#1mcnation¬†#ev #evcharger ",CameronR.Law,9/5/2023,20,7,7,80,"You’re gonna kill it, Thanks, AZ. I always appreciate your positivity!, I am both humbled and excited to have this opportunity. Moreover, I look forward to the feedback from this supportive community. So much gratitude!, Join this startupecosystem, Thank you Dick Gourley for hosting today! It’s a joy to be with founders and mentors who love 1 Million Cups Sacramento #starup #ecosystem !!! #founders #movementthatinspires, If you have never attended a 1 Million Cups Meeting on Wednesday mornings, you are missing out! Please join us from anywhere virtually, I’m now following! 
Thanks for the referral","Azriel (A.Z) Nicdao, Joshua Maddox, Joshua Maddox, June Swatzell, June Swatzell, 1 Million Cups Sacramento, Vicki J. O'Grady-Longo"
75," üì£ Get ready for a week filled with innovation and entrepreneurship! Check out our latest weekly e-newsletter for all the updates you need:1Ô∏è‚É£ Save the Date: Startup Challenge is just around the corner! üöÄ Make sure you're prepared for this exciting event that could kickstart your entrepreneurial journey.2Ô∏è‚É£ Innovation Series: We've got a double treat for you! üåü Join us for ""Pirates in the Navy"" led by Tendayi Viki and ""Testing Business Ideas"" led by David Bland workshops. These sessions are designed to supercharge your innovation skills and enable you to derisk your way to startup success.3Ô∏è‚É£ GFX - Mentor Sprint: Looking for expert guidance on your startup journey? Don't miss our Mentor Sprint at GFX. Connect with experienced mentors and level up your game. GFX is a venture conference of the Growth Factory and this sub-event is co-led with StartupSac!Stay in the loop with the latest opportunities and events in the world of entrepreneurship. Read it all here: https://lnkd.in/gnAv6Yaq#StartupChallenge #InnovationSeries #MentorSprint #Entrepreneurship #StayInformedSacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub Sacramento Entrepreneurship Academy FourthWave.io The Hive CSUS Sacramento MetroBusiness Center Startup Folsom Choose Folsom CleanStart AgStart Strategy & Innovation InstituteLaura Good Arlene J. Miranda Cameron R. Law Brian K. Gladden, DBA üç∑Christy Serrato Monique Brown Donna ‚ÄúBasicTaq‚Äù Walters, MBA May Chinavanichkit Evan Broome Ethan Bradley Hannah Chavez Madi Lane Kyla Bryant Rich Foreman Laura Fickle Thomas Hall John Selep",CameronR.Law,9/5/2023,10,1,2,182,Great stuff! We're looking forward to the Startup Challenge in October! Registration opening soon!,StartupSac
76," üöÄ Ready to validate your business ideas like a pro? Join us for ""Testing Business Ideas"" with David Bland, CEO and Founder of Precoil, and co-author of the best-selling book with Alexander Osterwalder.üîç Dive into the core principles of Testing Business Ideas and learn how to sequence experiments effectively. Explore the three major themes: #Desirability (do people want it?), #Viability (can it sustain a business?), and #Feasibility (the nuts and bolts of infrastructure).üó£Ô∏è David Bland is not just a theorist; he's a practitioner. With extensive experience coaching emerging product teams at Adobe and pioneering GE FastWorks with Eric Ries, he's been in the trenches, helping startups and established companies alike.Don't miss this interactive session where you'll gain actionable insights to supercharge your business testing efforts!üìÖ Date: Tuesday, Sept. 12thüïí Time: 12 pm PSTüìç Location: Virtual on Zoom (Register to receive Zoom Link)Secure your spot now: https://lnkd.in/g6W_j6sJ#TestingBusinessIdeas #InnovationWorkshop #EntrepreneurialInsights #StartupSuccessStrategy & Innovation Institute Northern California SBDC National Black Entrepreneurs Project Growth Factory Sacramento State College of Business Administration Sacramento State EMBA StartupSac The Right Box LLC 1 Million Cups Sacramento Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy NorCal Entrepreneur Hub Chicostart UC Davis Student Startup Center UC Davis Institute for Innovation and EntrepreneurshipBrian K. Gladden, DBA Scott Rogalski Chris Horton Monique Brown Donna ‚ÄúBasicTaq‚Äù Walters, MBA Laura Good Rich Foreman Josh David Miller üç∑Christy Serrato May Chinavanichkit Eva L. Shepherd-Nicoll Aaron Mondell Anderson Dawn McGee Niki Peterson Janine Elliott",CameronR.Law,9/1/2023,18,1,6,192,You gentlemen should look into pitching at one of their events....,George Parrish
77," üöÄ Whether you're an industry pro, tech enthusiast, or just someone who wants a healthier home, this event is a MUST-ATTEND! Don't miss out!#freshair #healthyhomes #ventilation #ventilationinnovation",ArleneJ.Miranda,8/30/2023,1,0,0,103,,
78," üåü Exciting lineup for our September Innovation Series! üåüJoin us for a month of learning, growth, and innovation:1Ô∏è‚É£ Pirates in the Navy: Building a Worldclass Innovation Company led by Tendayi Viki2Ô∏è‚É£ Testing Business Ideas led by David Bland3Ô∏è‚É£ Understand Your Customers: Learn to Apply Jobs to Be Done (JTBD) led by Tony Ulwick4Ô∏è‚É£ Transform Your Organization's Culture led by Brian K. Gladden, DBADon't miss out on these opportunities to sharpen your entrepreneurial skills and explore new avenues for success.üîó Learn more and register: https://lnkd.in/gyzd5DJF#InnovationSeries #Entrepreneurship #LearningJourney #BusinessGrowthStrategyzer Strategyn Precoil Strategy & Innovation Institute Northern California SBDC Tech Futures Group Growth Factory Greater Sacramento Economic Council Sacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub",CameronR.Law,8/30/2023,10,0,1,203,,
79," Join us next Wednesday, Sept. 6th at 10 am PST to hear from Tendayi Viki, Author of Pirates in the Navy and Partner at Strategyzer!We will explore innovative strategies and mindsets for fostering creativity and disruption within organizations. Drawing inspiration from pirates, he will reveal valuable lessons applicable to any industry, empowering individuals and businesses to navigate uncharted waters.Embark on a voyage of discovery and revolutionize your approach to innovation. Reserve your spot for ""Pirates in the Navy: Unlocking Innovation Secrets"" now and chart a course for success in the changing seas of business.#innovation #entrepreneurship #disruption #corporateinnovation #authortalkStrategy & Innovation Institute Brian K. Gladden, DBA StartupSac Laura Good Startup Folsom Rich Foreman Choose Folsom Phil Scott Laura Fickle Growth Factory Monique Brown Donna ‚ÄúBasicTaq‚Äù Walters, MBA May Chinavanichkit Sacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub 1 Million Cups Sacramento VSP Global Innovation Center Ruth Yomtoubian UC Davis Institute for Innovation and Entrepreneurship Niki Peterson UC Davis Venture Catalyst Janine Elliott UC Davis Student Startup Center Aaron Mondell Anderson Dawn McGee Sacramento State College of Business Administration Jean-Francois Coget Ryan Fuller, PhD, MBA Nathan (Nam Kyoon) Kim",CameronR.Law,8/30/2023,8,2,0,201,"You had me at pirates…, Argh Matey 🏴‍☠️","Rich ForemanView, Franklin Burris"
80," Networking and hanging with StartupSac  and the Carlsen Center for Innovation & Entrepreneurship for the monthly #Startup #HappyHourüç∑hosted this month at Capsity Coworking with appetizers sponsored by Newman Associates, CPA. Great get-together of Sacramento-region #entrepreneurs to connect, socialize and learn from each others' stories. #Coworking #OakPark Sacramento Entrepreneurial Growth Alliance Cameron R. Law Arlene J. Miranda Laura Good May Chinavanichkit Thomas Hall Gary Simon üéØ",CameronR.Law,8/30/2023,17,3,2,70,"I missed it. I bet it was good, next month!, So great to see you there, Franklin Burris, MPA! #ecosystembuilding #entrepreneurship #entrepreneurshipdevelopment #startupsupport ","Mari-Lyn Harris, Franklin Burris, Carlsen Center for Innovation & Entrepreneurship"
81," üöÄ Starting soon be sure to register before its too late! Join us for the enlightening workshop on OKRs: Driving Focus, Alignment, and Engagement with Ben Lamorte.‚è∞ Starting at 12 pm PSTüîó Register to receive the Zoom link: https://lnkd.in/ddTkAiwzUnlock the power of Objectives and Key Results (OKRs) to enhance focus, align your team, and drive engagement towards your business goals. Don't miss this opportunity to learn from a leading expert in the field.#OKRs #BusinessAlignment #GoalSetting #Entrepreneurship #LearningOpportunityStrategy & Innovation Institute Brian K. Gladden, DBA ",CameronR.Law,8/29/2023,2,0,0,37,,
82," Calling all innovators, founders, and dreamers! üöÄ Join us for a vibrant evening of networking and idea exchange at our Startup Happy Hour. ü•ÇAre you passionate about startups and entrepreneurship? Want to connect with like-minded individuals, share experiences, and explore new opportunities? This is the perfect event for you!üìÖ Date: Tuesday, August 29thüïî Time: 5 pm PSTüè¢ Location: Capsity Coworking, SacramentoWhether you're a seasoned entrepreneur, just starting out, or simply curious about the startup world, this is the place to be. Let's come together, inspire each other, and create meaningful connections that could shape the future.Don't miss out on this exciting gathering! Secure your spot now: https://lnkd.in/dGqAXTTk#StartupHappyHour #Entrepreneurship #Innovation #Networking #SacramentoStartups #CommunityBuildingStartupSac 1 Million Cups Sacramento Laura Good Arlene J. Miranda Cameron R. Law Dmitri Godamunne ",CameronR.Law,8/29/2023,10,1,1,153,I'm looking forward to it!,Laura Good
83," Unlock the Power of OKRs: Drive Focus, Alignment, and Engagement! üöÄAre you looking to supercharge your team's performance and achieve your business goals with precision? Join us for an enlightening workshop on OKRs (Objectives and Key Results) with Ben Lamorte, a true expert in the field. Ben is the author of The OKRs Field Book & the President of OKRs.com.OKRs are not just another buzzword ‚Äì they are a proven methodology used by top organizations to drive focus, alignment, and engagement at all levels. In this session, you'll gain insights into how to set clear, actionable objectives and measurable key results that guide your team toward success.Don't miss out on this opportunity to learn from the best! Join us tomorrow Tuesday, August 29th at 12 pm PST to harness the power of OKRs and revolutionize your business strategy.Register now: https://lnkd.in/ddTkAiwz#OKRs #BusinessStrategy #Focus #Alignment #Engagement #Workshop #Innovation #Entrepreneurship",CameronR.Law,8/28/2023,5,0,0,85,,
84," üåü Embrace the Spirit of Innovation & Entrepreneurship! üåç""No action is too small when it comes to changing the world... I'm inspired every time I meet an entrepreneur who is succeeding against all odds."" - Cyril RamaphosaGet ready for an exciting lineup of events and programs at the Carlsen Center:1Ô∏è‚É£ Join us for our Innovation Series workshops over the next four weeks, covering OKRs, building a world-class innovation company, testing business ideas, and understanding your customers' needs through Jobs to Be Done (JTBD). üõ† üéØ 2Ô∏è‚É£ Mark your calendars for the upcoming Startup Challenge on October 13th - 15th. Get ready to showcase your entrepreneurial spirit and innovative ideas! üöÄ 3Ô∏è‚É£ Be part of something greater with the launch of the Global Solutions Sustainability Challenge. Join forces with fellow changemakers to tackle global challenges. üó∫ For more details and to stay connected, check out our latest newsletter: https://lnkd.in/gHQgEhd6#Innovation #Entrepreneurship #StartupChallenge #Sustainability #InnovationSeries #GlobalSolutions #ChangeTheWorldStartupSac Startup Folsom Growth Factory 1 Million Cups Sacramento NorCal Entrepreneur Hub Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy FourthWave.io UC Davis Student Startup Center AgStart Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of CommerceLaura Good Rich Foreman Monique Brown Donna ‚ÄúBasicTaq‚Äù Walters, MBA Dick Gourley May Chinavanichkit Josh David Miller Cameron R. Law Arlene J. Miranda üç∑Christy Serrato Dawn McGee Franklin Burris, MPA Pat Fong Kushida Azizza Davis Goines Cathy Rodriguez Aguirre Juan P. Novello",CameronR.Law,8/28/2023,11,3,3,1229,"We're looking forward to the Startup Challenge in October!, We are too! Thank you, Laura Good and StartupSac, for making our effort a reality!, Excited to launch another Startup Challenge this Fall! Be sure to learn more in this newsletter or attend our information session!","StartupSac, Startup Challenge, Startup Challenge"
